TimestepsSoFar,EpisodesSoFar,loss_ent,TimeElapsed,loss_pol_surr,EpThisIter,EpLenMean,loss_kl,EpRewMean,loss_vf_loss,ev_tdlam_before,loss_pol_entpen
577536,887,1.2252212,901.0785081386566,-0.0203559,7,676.81,0.007142638,0.17,0.01702867,0.9292453154921532,0.0
581632,893,1.1468174,905.6123299598694,-0.021180714,6,672.83,0.008111998,0.29,0.022666477,0.9025510475039482,0.0
585728,900,1.1744642,910.287171125412,-0.022147527,7,670.51,0.0066318694,0.25,0.021692809,0.9236868023872375,0.0
589824,907,1.168831,914.5509719848633,-0.022732258,7,663.78,0.007709267,0.42,0.020960849,0.9233543127775192,0.0
593920,913,1.1328452,919.0945789813995,-0.022625817,6,663.54,0.0068737944,0.5,0.026426107,0.8982797786593437,0.0
598016,919,1.126182,923.4522309303284,-0.020578187,6,661.76,0.0074379114,0.56,0.022002865,0.9131004884839058,0.0
602112,924,1.104683,983.5539951324463,-0.020425633,5,668.85,0.007203936,0.49,0.020728055,0.8740856498479843,0.0
606208,930,1.0686947,987.8814580440521,-0.02131768,6,674.74,0.0063929744,0.52,0.01954691,0.9120553508400917,0.0
610304,937,1.0414325,992.395546913147,-0.020942012,7,671.4,0.0064129434,0.51,0.021689031,0.9014949128031731,0.0
614400,942,0.9761119,997.138335943222,-0.02230783,5,672.9,0.0075345244,0.67,0.021810222,0.8595176488161087,0.0
618496,948,1.0648868,1001.4438421726227,-0.024164317,6,672.91,0.0074919057,0.78,0.018457888,0.9177902489900589,0.0
622592,954,1.0384243,1005.7587490081787,-0.021090765,6,672.28,0.006903306,0.7,0.020257898,0.8993530794978142,0.0
626688,959,1.0809126,1009.9899017810822,-0.019958694,5,672.78,0.005419375,0.63,0.020715313,0.8976415768265724,0.0
630784,965,1.0189624,1014.3075988292694,-0.018720658,6,678.0,0.006621718,0.7,0.015525046,0.9396625086665154,0.0
634880,972,1.0125988,1018.5634388923645,-0.021444226,7,667.26,0.0056967214,0.79,0.020121465,0.9250944405794144,0.0
638976,977,1.1012911,1022.7640268802643,-0.020661937,5,673.8,0.0066342903,0.74,0.022622209,0.9123600646853447,0.0
643072,983,1.112485,1027.2688031196594,-0.022654116,6,678.36,0.00722644,0.71,0.019803306,0.9197680875658989,0.0
647168,991,1.0206244,1031.5550549030304,-0.023832344,8,673.11,0.006876476,0.67,0.021709314,0.9196283966302872,0.0
651264,997,1.0347937,1036.0159828662872,-0.020266138,6,671.55,0.0070266807,0.57,0.021461632,0.9103577062487602,0.0
655360,1003,1.0336528,1040.6451909542084,-0.021778885,6,676.23,0.0074336883,0.45,0.0247275,0.9009904116392136,0.0
659456,1010,1.066557,1044.8750269412994,-0.021911435,7,679.56,0.0064767743,0.44,0.025558785,0.925742395222187,0.0
663552,1015,1.0187216,1049.1726138591766,-0.020346625,5,676.91,0.0061470433,0.43,0.03060133,0.8706149160861969,0.0
667648,1021,1.0217873,1053.487096786499,-0.02156577,6,686.55,0.0068041068,0.46,0.018073233,0.934276781976223,0.0
671744,1028,1.0047506,1058.403473854065,-0.022728354,7,672.08,0.007699438,0.61,0.023965934,0.9047857597470284,0.0
675840,1033,1.0542989,1063.056095123291,-0.02305575,5,677.55,0.006088331,0.48,0.01933436,0.9262450709939003,0.0
679936,1038,1.0184399,1067.5719890594482,-0.02272459,5,682.63,0.00653599,0.4,0.0215395,0.90946926176548,0.0
684032,1045,1.1092755,1071.8536038398743,-0.023211148,7,678.41,0.008000863,0.12,0.018129362,0.8807691410183907,0.0
688128,1051,1.0491943,1076.143326997757,-0.023242766,6,679.32,0.009430726,0.0,0.02388855,0.8815951347351074,0.0
692224,1057,1.0031403,1080.4555888175964,-0.02187273,6,679.26,0.005763129,0.16,0.018031487,0.9158799275755882,0.0
696320,1063,1.014056,1084.9306309223175,-0.023456423,6,675.42,0.0058667553,0.17,0.018350847,0.8995743095874786,0.0
700416,1068,1.0190618,1141.3522109985352,-0.021900201,5,674.07,0.0059065497,0.28,0.01621521,0.9122154638171196,0.0
704512,1074,0.98484844,1146.486095905304,-0.022841845,6,685.02,0.005888466,0.23,0.018248368,0.8969072997570038,0.0
708608,1079,1.0374767,1150.8773341178894,-0.024179611,5,684.22,0.006396374,0.25,0.02018775,0.8823759108781815,0.0
712704,1085,1.0786049,1155.2852501869202,-0.022390343,6,686.68,0.008017832,0.17,0.021155488,0.8823249936103821,0.0
716800,1090,1.0178919,1159.8413360118866,-0.02485528,5,699.36,0.008102158,0.05,0.018805541,0.9002783820033073,0.0
720896,1095,0.97776437,1164.2679498195648,-0.020636082,5,709.41,0.0058001135,0.14,0.01718988,0.9106934294104576,0.0
724992,1100,0.9840582,1168.6568048000336,-0.024688588,5,712.69,0.007473279,0.16,0.01614083,0.8749807924032211,0.0
729088,1107,1.0001858,1173.0393018722534,-0.02224634,7,716.99,0.0062527973,0.32,0.02002337,0.8855155035853386,0.0
