total_timesteps,value_loss,nupdates,explained_variance,fps,policy_entropy,ep_reward_mean,ep_len_mean
773500,5.127754320710665e-06,154700,0.9676679708063602,670,2.0764384269714355,-4.86,606.33
774000,0.0009094200795516372,154800,-1.9847140312194824,670,2.074528694152832,-4.86,607.24
774500,0.0007905937964096665,154900,0.052254438400268555,670,2.0732975006103516,-4.86,606.3
775000,2.928003596025519e-05,155000,0.973731305450201,671,2.0737991333007812,-4.86,606.3
775500,0.111089788377285,155100,-1.2140264511108398,671,2.0524144172668457,-4.86,606.6
776000,3.277847281424329e-05,155200,-1.541766881942749,671,2.071892499923706,-4.86,606.23
776500,0.00036388938315212727,155300,-0.16852140426635742,672,2.076253890991211,-4.86,605.85
777000,0.0006290107266977429,155400,0.9926148750819266,672,2.0502991676330566,-4.86,604.98
777500,0.0005354130989871919,155500,-1.7191135883331299,672,2.0747876167297363,-4.86,603.33
778000,0.0020332711283117533,155600,-45.112483978271484,672,2.0537190437316895,-4.86,603.33
778500,0.000157520393258892,155700,-0.3586549758911133,673,2.063758373260498,-4.86,602.44
779000,4.6855911932652816e-05,155800,0.7385594248771667,673,2.056440830230713,-4.86,601.89
779500,2.3414735551341437e-05,155900,0.8443300127983093,673,2.0446763038635254,-4.85,602.75
780000,1.532494934508577e-05,156000,0.9006134942173958,673,2.0505993366241455,-4.85,603.04
780500,0.0028378027491271496,156100,-3.454051971435547,674,2.0378246307373047,-4.85,603.04
781000,7.524593820562586e-05,156200,0.23152393102645874,674,2.0672850608825684,-4.85,602.68
781500,0.00020019088697154075,156300,-0.07424581050872803,674,2.067626476287842,-4.85,603.87
782000,0.0008617619168944657,156400,-17.750883102416992,674,2.041203498840332,-4.85,602.56
782500,0.0004969358560629189,156500,-0.24756109714508057,675,2.074235677719116,-4.85,602.56
783000,8.88806171133183e-05,156600,-0.7544970512390137,675,2.0721640586853027,-4.85,604.24
783500,0.0006576869636774063,156700,0.8600883185863495,675,2.0613696575164795,-4.85,604.24
784000,0.00019776572298724204,156800,-2.331407070159912,675,2.0765719413757324,-4.84,611.12
784500,0.08144491910934448,156900,-1576.802734375,676,2.0584378242492676,-4.84,612.9
785000,0.00016716588288545609,157000,0.7658004909753799,676,2.049868583679199,-4.84,612.9
785500,0.001318086520768702,157100,-6.711123943328857,676,2.04707407951355,-4.85,612.81
786000,0.00023540032270830125,157200,0.7744160294532776,677,2.0712623596191406,-4.85,613.48
786500,0.00041489116847515106,157300,0.1289454698562622,677,2.0734806060791016,-4.85,614.03
787000,2.2930656996322796e-05,157400,0.37330377101898193,677,2.0729503631591797,-4.85,614.03
787500,4.1614825022406876e-05,157500,0.8085069954395294,677,2.0707788467407227,-4.84,617.01
788000,1.4008251127961557e-05,157600,0.9162955805659294,678,2.0655508041381836,-4.84,616.0
788500,5.9268302720738575e-05,157700,0.667097419500351,678,2.0734198093414307,-4.84,615.32
789000,0.013525165617465973,157800,-64.27501678466797,678,2.017359972000122,-4.84,613.28
789500,0.0005984531599096954,157900,-0.4006919860839844,678,2.0473480224609375,-4.84,610.03
790000,8.67887501954101e-05,158000,-0.9823981523513794,679,2.072507381439209,-4.84,610.03
790500,8.958857506513596e-05,158100,0.3900165557861328,679,2.0741803646087646,-4.84,611.44
791000,9.229294664692134e-05,158200,-4.155524730682373,679,2.062286376953125,-4.84,608.57
791500,5.732993668061681e-05,158300,0.9475389942526817,679,2.0612130165100098,-4.84,608.42
792000,0.00011108403850812465,158400,-0.05672717094421387,680,2.044238328933716,-4.84,611.25
792500,0.00029511700267903507,158500,-4.332852363586426,680,2.0650017261505127,-4.84,611.25
793000,0.0003649553400464356,158600,-0.9428901672363281,680,2.059849500656128,-4.84,616.07
793500,0.00036928002373315394,158700,0.8107496947050095,680,2.058467149734497,-4.84,613.41
794000,0.17976243793964386,158800,-17180.232421875,681,2.061509370803833,-4.84,612.53
794500,0.00013645898434333503,158900,0.6363807618618011,681,2.0393218994140625,-4.84,613.21
795000,0.006507370620965958,159000,-12.94871997833252,681,2.034942865371704,-4.84,613.12
795500,2.8473319616750814e-05,159100,0.2595318555831909,682,2.0217652320861816,-4.84,613.12
796000,0.00021537896827794611,159200,0.5242900848388672,682,2.0705642700195312,-4.84,613.25
796500,0.0019235808867961168,159300,0.020325541496276855,682,2.059709072113037,-4.84,613.25
797000,7.581144745927304e-05,159400,0.8327919095754623,682,2.071240186691284,-4.83,616.57
797500,2.5460301912971772e-05,159500,0.8044023811817169,683,2.057361125946045,-4.83,615.15
798000,0.00021170495892874897,159600,-3.543672561645508,683,2.0747551918029785,-4.83,616.58
798500,3.656919489003485e-06,159700,0.9368036836385727,683,2.0757899284362793,-4.83,617.14
799000,1.8030706996796653e-05,159800,0.7753331363201141,683,2.0610556602478027,-4.83,617.14
799500,0.0007528645219281316,159900,-0.2060401439666748,684,2.0568454265594482,-4.83,615.91
800000,0.0004238839610479772,160000,-4.56076192855835,684,2.0640735626220703,-4.83,616.85
800500,6.110574759077281e-05,160100,0.7304930090904236,684,2.057725667953491,-4.85,614.93
801000,6.371138442773372e-05,160200,0.9118203595280647,684,2.054388999938965,-4.85,614.29
801500,0.00016962984227575362,160300,-1.2367446422576904,685,2.0700740814208984,-4.85,614.44
802000,2.3209649953059852e-05,160400,0.8573345392942429,685,2.0677199363708496,-4.84,617.57
802500,0.0010618201922625303,160500,-13.595804214477539,685,2.074988842010498,-4.84,617.57
803000,0.00026397325564175844,160600,-0.26727402210235596,685,2.0653467178344727,-4.83,623.39
803500,0.00025699479738250375,160700,0.20220088958740234,686,2.0581302642822266,-4.83,623.56
804000,0.00012925444752909243,160800,-1.8747673034667969,686,2.0665409564971924,-4.83,623.56
804500,0.00016020741895772517,160900,-3.624025344848633,686,2.0765206813812256,-4.83,622.08
805000,1.125424478232162e-05,161000,0.9455006159842014,687,2.049975633621216,-4.83,623.51
805500,0.16536594927310944,161100,-1533.583251953125,687,2.066838264465332,-4.83,621.83
806000,1.757239988364745e-05,161200,0.8469179421663284,687,2.066208600997925,-4.84,622.06
806500,9.919240983435884e-05,161300,-4.726933479309082,687,2.0696115493774414,-4.84,622.06
807000,0.00011854311742354184,161400,0.7190316617488861,688,2.069185972213745,-4.82,627.05
807500,0.00013668436440639198,161500,0.6087805032730103,688,2.0739824771881104,-4.82,627.2
